user_id,visit_id,date,transactions,revenue,source,source_type
8281062230897695095,1495252935,20170519,1,34.77,(direct),Direct
4343338159400542614,1495221764,20170519,1,35.68,(direct),Direct
6816536410771579463,1495226334,20170519,1,62.27,(direct),Direct
1383687428379664179,1495214310,20170519,1,149.65,(direct),Direct
8704055191873808093,1495216736,20170519,1,174.9,(direct),Direct
2962662746296004840,1495197634,20170519,1,79.4,(direct),Direct
7113011772090059658,1495224792,20170519,1,50.0,(direct),Direct
1366491597789783868,1495211697,20170519,1,25.97,(direct),Direct
9026840718082010040,1495199725,20170519,3,272.79,(direct),Direct
3237848165870949181,1495198354,20170519,1,105.31,(direct),Direct
7811787934602942622,1496635614,20170604,1,3.5,(direct),Direct
2793662397630011318,1496589457,20170604,1,12.98,(direct),Direct
9320164337521602239,1496612546,20170604,1,97.57,(direct),Direct
5181406124249294849,1485623355,20170128,1,27.98,(direct),Direct
5168711164353008425,1478719637,20161109,1,12.99,(direct),Direct
2074164338647079047,1478727575,20161109,1,16.99,(direct),Direct
6450911729940987017,1478731958,20161109,1,16.99,(direct),Direct
9858678631293882543,1478720900,20161109,1,582.27,(direct),Direct
1083022042511644980,1478710189,20161109,1,12.99,(direct),Direct
4578640586284138624,1478901647,20161111,1,19.19,(direct),Direct
4286676770640078553,1478892351,20161111,1,107.98,(direct),Direct
2397431554777461893,1478905313,20161111,1,179.16,(direct),Direct
6861503307168230520,1478906412,20161111,2,69.99,(direct),Direct
1118844520744405743,1478890371,20161111,1,14.0,(direct),Direct
7970882488065232755,1492458224,20170417,1,86.02,(direct),Direct
6599797229931004781,1492466947,20170417,1,27.18,(direct),Direct
7344091753437822948,1492484273,20170417,1,71.9,(direct),Direct
5348778605970675529,1492490092,20170417,1,20.98,(direct),Direct
9791048489281287821,1492456594,20170417,1,55.99,(direct),Direct
308001535433955546,1492435244,20170417,1,431.5,(direct),Direct
934503934783544332,1492459987,20170417,1,41.98,(direct),Direct
6779452888201593499,1492449129,20170417,1,8.98,(direct),Direct
412554141248368974,1492441565,20170417,1,24.99,(direct),Direct
7311242886083854158,1492465643,20170417,1,177.44,(direct),Direct
6668081558564900297,1492453977,20170417,1,419.5,(direct),Direct
2402527199731150932,1492432387,20170417,2,179.1,(direct),Direct
7867882247088163383,1494539436,20170511,2,62.6,(direct),Direct
0758186940251087967,1494538950,20170511,1,100.77,(direct),Direct
6008548099452961352,1494550361,20170511,1,10.99,(direct),Direct
6784942703599802835,1494541635,20170511,1,44.79,(direct),Direct
7061795919044528167,1494535719,20170511,1,67.18,(direct),Direct
2722991619040333092,1494533872,20170511,1,68.55,(direct),Direct
6546372456580324872,1494539365,20170511,1,33.59,(direct),Direct
7727831218148659507,1494540770,20170511,1,251.94,(direct),Direct
8396381914798990516,1494551385,20170511,1,19.99,(direct),Direct
9893747990452034103,1494537094,20170511,1,67.18,(direct),Direct
7559237002238167612,1494535177,20170511,1,33.59,(direct),Direct
5394117793906112034,1494535789,20170511,1,16.79,(direct),Direct
9722351659146132815,1494556136,20170511,1,50.0,(direct),Direct
8197879643797712877,1494522440,20170511,1,458.67,(direct),Direct
3302292601270378852,1499483356,20170707,1,28.78,(direct),Direct
7447137895250670218,1499455839,20170707,1,1.5,(direct),Direct
2557544565676711160,1499445123,20170707,1,185.7,(direct),Direct
2923157586809674604,1499454409,20170707,1,101.44,(direct),Direct
263896833266166939,1499447927,20170707,1,25.9,(direct),Direct
9026840718082010040,1499441485,20170707,2,925.13,(direct),Direct
9264586279385429570,1472229403,20160826,1,169.1,(direct),Direct
589967396396729491,1472250359,20160826,1,27.74,(direct),Direct
3466966401704359323,1472255433,20160826,1,80.6,(direct),Direct
3137796021473000600,1472225002,20160826,1,35.37,(direct),Direct
6391833308528377505,1472236251,20160826,1,6.69,(direct),Direct
5954999562906219668,1472244152,20160826,1,297.11,(direct),Direct
9415047435363681557,1472232863,20160826,2,82.62,(direct),Direct
6485652672428047343,1470063041,20160801,1,23.48,(direct),Direct
0831511922986457407,1470064297,20160801,1,61.9,(direct),Direct
9998597322098588317,1470086006,20160801,1,97.2,(direct),Direct
2509714289037323244,1470078181,20160801,1,144.19,(direct),Direct
4166700707688517424,1470046365,20160801,1,1589.4,(direct),Direct
2788555723243018631,1470077433,20160801,1,250.0,(direct),Direct
5760753352577829144,1470095605,20160801,1,47.99,(direct),Direct
6452285658468801695,1470078875,20160801,1,31.99,(direct),Direct
4706268205340305980,1495802522,20170526,1,147.85,(direct),Direct
0445631247863989355,1495831131,20170526,1,36.77,(direct),Direct
